titulo,url_pagina,url_chamada,publicado_em,atualizado_em,inscricoes_inicio,inscricoes_fim,situacao,descricao,anexos,qtd_anexos
Chamada pública CNPq/MCTI/MEMP N° 05/2026 - Programa de Iniciação ao Empreendedorismo - PIEMP,https://www.gov.br/cnpq/pt-br/chamadas/abertas-para-submissao,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-05-2026/chamada-piemp-2026-1.pdf,2026-02-25,2026-03-02,2026-02-25,2026-04-13,Aberta para Submissão,"São objetivos desta Chamada: a) fomentar projetos de empreendedorismo inovador nas ICT/IES, contribuindo para o desenvolvimento de um ambiente acadêmico voltado a criatividade, pesquisa, inovação e cooperação; e b) incentivar a participação de equipes de estudantes de graduação em projetos de empreendedorismo na ICT/IES, de modo a promover a liderança e o espírito empreendedor, por meio da concessão de bolsas de Iniciação Tecnológica e Industrial (ITI). Chamada Inscrições: 25/02/2026 a 13/04/2026 FAQ Anexo II: Modelo Estruturado do Projeto - Plano de Desenvolvimento - PIEMP Anexo III: Declaração de Indicação do(a) Representante Institucional da ICT/IES","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-05-2026/chamada-piemp-2026-1.pdf"", ""tipo"": ""pdf""}, {""nome"": ""FAQ"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-05-2026/FAQPIEMP.pdf"", ""tipo"": ""pdf""}]",2
CHAMADA PÚBLICA CNPq/MPA Nº 03/2026 PROGRAMA JOVEM CIENTISTA DA PESCA ARTESANAL - INICIAÇÃO CIENTÍFICA JÚNIOR (ICJ),https://www.gov.br/cnpq/pt-br/chamadas/abertas-para-submissao,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-03-2026/sei_01300-000619_2026_40.pdf,2026-02-12,,2026-02-10,2026-03-17,Aberta para Submissão,A presente chamada pública tem por objetivo apoiar Instituições de Ensino Superior e Institutos de Ciência e Tecnologia interessados em participar do Programa Jovem Cientista da Pesca Artesanal por meio da concessão de bolsas de Iniciação Científica Júnior (ICJ) no período de 1º de maio de 2026 a 30 de abril de 2027 Chamada Formulário de Proposta Inscrições: 10/02/2026 a 17/03/2026,"[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-03-2026/sei_01300-000619_2026_40.pdf"", ""tipo"": ""pdf""}]",1
"Chamada Pública MCTI/CNPq Nº 02/2026 Programa de Cooperação Latino-Americana e Caribenha em Ciência, Tecnologia e Inovação - PROSUL Pepe Mujica",https://www.gov.br/cnpq/pt-br/chamadas/abertas-para-submissao,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-02-2026/chamada-publica-mcti_cnpq-n-02_2026-prosul-pepe-mujica.pdf,2026-01-28,2026-02-10,2026-01-28,2026-04-30,Aberta para Submissão,"Apoiar projetos de pesquisa colaborativa que visem contribuir significativamente para o fortalecimento da cooperação científica, tecnológica e de inovação entre o Brasil e demais países da América Latina e Caribe nos seguintes eixos temáticos: a) Ambiente e sustentabilidade: Mudanças climáticas, conservação da biodiversidade, gestão de recursos hídricos, energias renováveis e economia circular; b) Alimentação e agricultura: Segurança alimentar, agricultura sustentável, biotecnologia agrícola, sistemas alimentares resilientes e combate à fome; c) Energia e mineração: Transição energética, mineração sustentável, eficiência energética e desenvolvimento de tecnologias limpas; d) Saúde: Doenças tropicais negligenciadas, medicina tropical, desenvolvimento de vacinas e medicamentos, sistemas de saúde resilientes e medicina personalizada; e) Tecnologia da informação: Inteligência artificial, cidades inteligentes, inclusão digital, cibersegurança e transformação digital; f) Ciências humanas e sociais com ênfase em estudos que focam a região latino-americana e caribenha, abordando processos sociais, históricos, educativos, culturais e políticos que moldam a região, com destaque para temas como desigualdades sociais, migrações, dinâmicas ambientais e a produção de conhecimento na região. Chamada FAQ Inscrições: 28/01/2026 a 30/04/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-02-2026/chamada-publica-mcti_cnpq-n-02_2026-prosul-pepe-mujica.pdf"", ""tipo"": ""pdf""}, {""nome"": ""FAQ"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2026/chamada-no-02-2026/faq-perguntas-frequentes_chamada-p-blica-mcti-cnpq_02-2026_prosul-pepe-mujica_v2-1.pdf"", ""tipo"": ""pdf""}]",2
Chamada Nº 28/2025 - Apoio a Projetos de Cooperação CNPq-TUBITAK,https://www.gov.br/cnpq/pt-br/chamadas/abertas-para-submissao,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-28-2025/chamada-tubitak-lan-amento.pdf,2026-01-21,,2025-12-30,2026-05-04,Aberta para Submissão,"Selecionar até 10 (dez) projetos conjuntos de pesquisa entre grupos brasileiros e turcos, que visem contribuir para o desenvolvimento científico, tecnológico e a inovação do país, nas seguintes áreas: Meio Ambiente; Alimentos e Agricultura; Saúde; ICT´S; Física. Chamada Inscrições: 30/12/2025 a 04/05/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-28-2025/chamada-tubitak-lan-amento.pdf"", ""tipo"": ""pdf""}]",1
"Chamada CNPq/Daevs/SVSA/MS Nº 33/2025 - Pesquisa, Extensão e Formação em Epidemiologia e Vigilância em Saúde",https://www.gov.br/cnpq/pt-br/chamadas/abertas-para-submissao,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-33-2025/chamada-33_2025-29-12-2025.pdf,2026-01-21,2026-02-26,2025-12-30,2026-03-31,Aberta para Submissão,"Fomentar projetos de pesquisa, extensão e formação voltadas ao apoio de trabalhadores(as) do Sistema Único de Saúde (SUS), com foco no fortalecimento do uso da epidemiologia na vigilância em saúde que visem contribuir significativamente para o desenvolvimento científico e tecnológico e a inovação do País. Chamada FLUXOGRAMA - Processo de Julgamento Inscrições: 30/12/2025 a 31/03/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-33-2025/chamada-33_2025-29-12-2025.pdf"", ""tipo"": ""pdf""}, {""nome"": ""FLUXOGRAMA - Processo de Julgamento"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-33-2025/FluxogramaProcessodeJulgamento.pdf"", ""tipo"": ""pdf""}]",2
CNPq/CAPES/IRD Nº 27/2025 Programa de apoio ao Centro Franco-Brasileiro de Biodiversidade Amazônica,https://www.gov.br/cnpq/pt-br/chamadas/abertas-para-submissao,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-27-2025/sei_cnpq-2536880-chamada-p-blica.pdf,2026-01-21,2026-02-26,2025-10-28,2026-03-02,Aberta para Submissão,"Selecionar até 5 (cinco), projetos conjuntos de pesquisa entre grupos brasileiros e franceses, que visem contribuir para o desenvolvimento científico,tecnológico e a inovação do país, por meio do financiamento de projetos conjuntos de pesquisa nos seguintes temas, conforme detalhado no AnexoI: a) Compreensão, Monitoramento, Conservação e Documentação da Biodiversidade Amazônica; b) Contribuições Presentes e Passadas dos Povos Indígenas e Comunidades Locais para a Biodiversidade; c) Cobertura Florestal, Observação da Terra, Mudanças Ambientais Regionais e Sustentabilidade; d) Biodiversidade, Saúde Humana e Alimentação (Abordagem One Health); e e) Bioeconomia para Meios de Subsistência Inclusivos e Economias Plurais, Bem Viver e Sistemas Alimentares Saudáveis. Observação: A aderência aos temas será realizada pelo Comitê Julgador a partir da apreciação da proposta. Chamada Retificação de Cronograma Inscrições: 28/10/2025 a 02/03/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-27-2025/sei_cnpq-2536880-chamada-p-blica.pdf"", ""tipo"": ""pdf""}, {""nome"": ""Retificação de Cronograma"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-27-2025/RetificaodaChamadaPblica27_2025.pdf"", ""tipo"": ""pdf""}]",2
Chamada CNPq/Decit/SCTIE/MS - Nº 32/2025 - Pesquisas Inovadoras para a Saúde das Mulheres,https://www.gov.br/cnpq/pt-br/chamadas/analise-em-andamento,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-32-2025/chamada-32-2025-1.pdf,2026-01-21,2026-02-26,2026-01-05,2026-02-25,Aberta para Submissão,"Apoiar projetos de pesquisa que visem contribuir para o desenvolvimento científico, tecnológico e a inovação do País, no âmbito do Sistema Único de Saúde (SUS), aplicadas à saúde das mulheres com vistas à melhoria da qualidade das ações de promoção da saúde feminina, prevenção, rastreamento, diagnóstico, tratamento e vigilância na oncologia bem como na atenção obstétrica segura, considerando os princípios da equidade no acesso aos serviços e a redução da morbimortalidade materna por causas evitáveis. Anexos Chamada Inscrições: 05/01/2026 a 25/02/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-32-2025/chamada-32-2025-1.pdf"", ""tipo"": ""pdf""}]",1
Chamada CNPq/MS-SCTIE-Decit Nº 30/2025 - Pesquisas Estratégicas em Terapias Avançadas e Terapias Baseadas em Ácidos Nucleicos,https://www.gov.br/cnpq/pt-br/chamadas/analise-em-andamento,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-30-2025/chamada30-2025.pdf,2026-01-21,2026-02-26,2025-12-31,2026-02-23,Aberta para Submissão,"Apoiar projetos de pesquisa e de capacitação voltados para o avanço científico, tecnológico e da inovação no Sistema Único de Saúde (SUS), com foco no desenvolvimento de insumos e produtos de terapias avançadas, dentre os quais incluem-se os produtos de terapia celular, de terapia gênica (in vivo e ex vivo) e de engenharia tecidual. Além disso, serão fomentadas iniciativas voltadas para a capacitação em produtos de terapia avançada, com ênfase no fortalecimento do Complexo Econômico-Industrial da Saúde (CEIS). Chamada Anexo I - Projeto De Pesquisa Anexo II - Declaração Isenção Conflito Interesses Anexo III - Plano Ações Afirmativas Anexo IV - Declaração Equipe FAQ Inscrições: 31/12/2025 a 23/02/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-30-2025/chamada30-2025.pdf"", ""tipo"": ""pdf""}, {""nome"": ""FAQ"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-30-2025/perguntas-e-respostas-chamada_30_2025_pta_e_tacn-1.pdf"", ""tipo"": ""pdf""}]",2
Chamada para Pesquisas Inovadoras em Vacinas CNPq/Decit/SCTIE/MS Nº 31/2025,https://www.gov.br/cnpq/pt-br/chamadas/analise-em-andamento,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-31-2025/chamada_publica_vacinas.pdf,2026-01-21,2026-02-26,2025-12-31,2026-02-23,Aberta para Submissão,"Apoiar pesquisas sobre vacinas que visem contribuir para o desenvolvimento científico, tecnológico e à inovação no âmbito do Sistema Único de Saúde (SUS), abrangendo o desenvolvimento de imunizantes inovadores para doenças infecciosas emergentes ou endêmicas de relevância para a saúde pública brasileira, bem como o aprimoramento de plataformas tecnológicas inovadoras para produção de vacinas, com foco na autonomia científica, tecnológica e sanitária do Brasil, em alinhamento com a Política Nacional de Ciência, Tecnologia e Inovação em Saúde (PNCTIS). Chamada Anexo I - Projeto De Pesquisa Anexo II - Declaração Isenção Conflito Interesses Anexo III - Plano Ações Afirmativas Anexo IV - Declaração Equipe Inscrições: 31/12/2025 a 23/02/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-31-2025/chamada_publica_vacinas.pdf"", ""tipo"": ""pdf""}]",1
Chamada Pública CNPq/MCTI/FNDCT Nº 25/2025 - Transporte Aquaviário e Construção Naval,https://www.gov.br/cnpq/pt-br/chamadas/analise-em-andamento,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-25-2025/1763131579912-dup-_chamada-25-2025-aquavi-rio.pdf,2026-01-21,2026-02-23,2025-11-14,2025-12-29,Aberta para Submissão,"Apoiar projetos de pesquisa que visem contribuir significativamente para o desenvolvimento científico e tecnológico e a inovação do País, na área de Transporte Aquaviário e Construção Naval. FAQ Chamada Retificação de Cronograma Inscrições: 14/11/2025 a 29/12/2025","[{""nome"": ""FAQ"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-25-2025/faq-chamada-25-2025.pdf"", ""tipo"": ""pdf""}, {""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-25-2025/1763131579912-dup-_chamada-25-2025-aquavi-rio.pdf"", ""tipo"": ""pdf""}]",2
"Chamada CNPq Nº 26/2025 Auxílio à Promoção de Eventos Científicos, Tecnológicos e/ou de Inovação ¿ ARC",https://www.gov.br/cnpq/pt-br/chamadas/analise-em-andamento,https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-26-2025/chamada-arc-26-2025.pdf,2026-01-21,,2025-11-25,2026-01-20,Aberta para Submissão,"Apoiar a realização no Brasil de eventos de grande porte, de abrangência mundial, internacional ou nacional, relacionados a ciência, tecnologia e inovação, tais como encontros, congressos e outros similares. Chamada Inscrições: 25/11/2025 a 20/01/2026","[{""nome"": ""Chamada"", ""url"": ""https://www.gov.br/cnpq/pt-br/chamadas/todas-as-chamadas/chamadas-2025/chamada-no-26-2025/chamada-arc-26-2025.pdf"", ""tipo"": ""pdf""}]",1
